Date;Location;MinTemp;MaxTemp;Rainfall;Evaporation;Sunshine;WindGustDir;WindGustSpeed;WindDir9am;WindDir3pm;WindSpeed9am;WindSpeed3pm;Humidity9am;Humidity3pm;Pressure9am;Pressure3pm;Cloud9am;Cloud3pm;Temp9am;Temp3pm;RainToday;RainTomorrow
2017-10-08;Canberra;6.49;18.8;1.9;;;NO;6.17;NO;NNO;4.63;2.6;77;94;1014;1014;75;100;17.12;16.12;Yes;Yes
2017-10-09;Canberra;12.65;22.47;8.31;;;ONO;9.77;O;NNO;5.14;3.1;56;58;1010;1014;75;0;21.12;14.12;Yes;No
2017-10-10;Canberra;5.77;21.85;0.0;;;N;5.14;N;ESE;4.63;1.54;21;94;1015;1019;0;100;21.12;13.12;No;No
2017-10-11;Canberra;11.91;24.34;0.0;;;NNO;7.2;NO;NO;5.14;10.3;36;40;1011;1008;0;75;23.12;21.12;No;Yes
2017-10-12;Canberra;9.96;19.76;4.64;;;NO;10.29;NO;NO;7.2;3.6;39;62;1014;1018;0;0;17.12;11.12;Yes;No
2017-10-13;Canberra;3.28;20.25;0.0;;;NNO;8.23;N;ESE;7.72;4.12;49;72;1016;1021;75;100;18.12;13.12;No;No
2017-10-14;Canberra;10.46;16.07;0.0;;;ENE;5.14;ENE;ENE;6.2;2.6;54;82;1022;1026;40;100;15.36;11.12;No;No
2017-10-15;Canberra;6.63;23.06;0.0;;;E;5.14;NE;SE;3.6;2.6;25;88;1023;1027;20;0;23.12;12.12;No;No
2017-10-16;Canberra;7.66;23.67;0.0;;;E;5.66;NNE;ESE;4.63;2.6;27;88;1024;1028;0;0;24.12;12.12;No;No
2017-10-17;Canberra;5.13;26.0;0.0;;;ENE;6.17;NE;E;4.6;3.1;23;77;1024;1028;0;0;26.12;13.12;No;No
2017-10-18;Canberra;6.33;25.73;0.0;;;NNE;6.17;NNE;E;4.63;2.1;30;82;1023;1025;0;0;25.12;13.12;No;Yes
2017-10-19;Canberra;9.93;24.41;2.46;;;NO;10.29;NNO;N;6.7;4.12;60;100;1020;1022;100;100;22.12;15.12;Yes;Yes
2017-10-20;Canberra;11.05;17.43;9.39;;;E;6.69;SSE;ESE;4.1;3.1;100;71;1022;1025;75;100;12.12;11.12;Yes;No
2017-10-21;Canberra;4.03;18.88;0.0;;;ENE;6.17;NNO;E;4.63;3.6;49;76;1016;1017;40;100;18.12;10.12;No;Yes
2017-10-22;Canberra;9.39;17.12;4.29;;;O;6.69;OSO;SSE;2.6;1.03;67;93;1013;1017;75;40;14.12;9.12;Yes;No
2017-10-23;Canberra;3.81;21.23;0.0;;;N;4.63;NO;N;4.1;0;28;66;1016;1018;0;0;21.12;10.12;No;
2017-10-24;Canberra;4.29;22.11;0.5;;;NO;8.23;ONO;ESE;5.7;1.03;33;67;1015;1016;0;0;22.12;14.12;No;
2017-10-25;Canberra;12.56;23.04;6.77;;;ONO;8.23;O;E;4.12;4.12;36;82;1011;1011;0;75;23.12;14.12;Yes;Yes
2017-10-26;Canberra;11.75;20.17;5.07;;;E;9.77;SSO;SSE;3.6;4.12;82;82;1006;1009;75;40;15.12;13.12;Yes;No
